Date,Profit,Sales
11/20/2015,-11046.01,27944.88354
11/21/2015,-9320.21,1707.02152
11/22/2015,4261.6,101719.0307
11/23/2015,14496,42064.26415
11/24/2015,15962.51,78463.02021
11/25/2015,-37331.17,51379.88424
11/26/2015,-3742.9,32187.16501
11/27/2015,12147.96,63437.86223
11/28/2015,4819.14,16076.02166
11/29/2015,9055.09,18380.22315
11/30/2015,-2283.06,4301.403766
12/1/2015,-6800.88,7143.929046
12/2/2015,-7290.8,2804.35985
12/3/2015,-6500.35,8502.104862
12/4/2015,9107.92,24876.58373
12/5/2015,-165.89,24471.91275
12/6/2015,-374.08,5798.820504
12/7/2015,-4102.87,17152.02391
12/8/2015,-16044.91,33945.21829
12/9/2015,-12056.54,77057.75429
12/10/2015,13588.05,33910.26322
12/11/2015,41081.29,129050.8566
12/12/2015,18111.42,47853.00551
12/13/2015,8812.89,25706.4769
12/14/2015,7997.41,69554.83868
12/15/2015,-4666.96,13694.25682
12/16/2015,12144.85,22426.89929
12/17/2015,17380.8,19911.28283
12/18/2015,-21612.22,39385.68874
12/19/2015,-252.96,12664.56304
12/20/2015,23185.4,67725.80222
12/21/2015,-4672.8,25803.09095
12/22/2015,-9823.01,13366.58634
12/23/2015,-33480.23,51667.36686
12/24/2015,3028.3,45760.35246
12/25/2015,-338.09,50606.33556
12/26/2015,-1786.14,12120.01241
12/27/2015,-814.46,164.1510895
12/28/2015,-13601.99,37000.98655
12/29/2015,9836.67,64561.11813
12/30/2015,9715.84,12361.67756
12/31/2015,-15844.81,10285.26516
1/1/2016,-2576.89,15623.22363
1/2/2016,6300.26,47169.36687
1/3/2016,4189.92,32987.43921
1/4/2016,-6492.6,25261.84848
1/5/2016,5631.55,29715.50011
1/6/2016,-6165.58,32250.37928
1/7/2016,16858.95,33640.64156
1/8/2016,-27174.61,98750.79912
1/9/2016,8563.34,107794.0436
1/10/2016,2516.4,3891.298941
1/11/2016,9520.38,74854.47824
1/12/2016,11724.24,77983.27724
1/13/2016,52098.09,139855.8284
1/14/2016,611.7,10555.60676
1/15/2016,-3597.58,23227.45282
1/16/2016,16519.57,40181.55383
1/17/2016,-8766.7,1986.397206
1/18/2016,-402.28,49.35605795
1/19/2016,2480.61,41516.98828
1/20/2016,5502.59,78159.96279
1/21/2016,-28489.1,21770.9216
1/22/2016,997.09,20428.48863
1/23/2016,-5127.06,652.4429743
1/24/2016,7674.79,38749.17529
1/25/2016,-4092.85,27249.42793
1/26/2016,54119.58,133198.8567
1/27/2016,-19537.83,78646.68938
1/28/2016,-1841.91,492.8277717
1/29/2016,-8571.54,60278.53493
1/30/2016,4891.26,37999.73929
1/31/2016,24865.67,77087.07708
2/1/2016,-874.16,49284.42541
2/2/2016,-6846.37,31286.50696
2/3/2016,26947.78,88320.82089
2/4/2016,-4764.32,11331.29365
2/5/2016,27671.73,81901.17691
2/6/2016,2833.81,23179.69054
2/7/2016,-873.43,56.29132336
2/8/2016,607.14,14081.53908
2/9/2016,-638.88,765.7197135
2/10/2016,5904.64,11266.18281
2/11/2016,1105.1,22026.2341
2/12/2016,4844.34,21437.33587
2/13/2016,20294.55,56285.72771
2/14/2016,-8371.52,308.5572988
2/15/2016,18436.5,51607.8797
2/16/2016,3726.83,43249.1563
2/17/2016,17674.3,79596.17016
2/18/2016,13939.19,58188.40037
2/19/2016,-9117.72,15367.49304
2/20/2016,9545.07,156101.3952
2/21/2016,-1102.24,15888.33656
2/22/2016,-18981.24,47537.22059
2/23/2016,754.06,21890.25926
2/24/2016,1746.84,30618.07132
2/25/2016,-2284.09,53498.76627
2/26/2016,20149.44,27123.57332
2/27/2016,-6377.07,67452.39984
2/28/2016,6149.41,8724.213593
2/29/2016,46422.23,185072.3386
3/1/2016,-4774,84297.94672
3/2/2016,-3168.72,4531.279465
3/3/2016,13160.92,44102.27902
3/4/2016,-31467.75,23196.76251
3/5/2016,-9843.59,90027.57016
3/6/2016,-5925.74,28100.62947
3/7/2016,-7853.67,9663.950091
3/8/2016,-5829.5,1269.636073
3/9/2016,5080.67,9590.958151
3/10/2016,15984.61,59877.44996
3/11/2016,-35637.23,43531.29041
3/12/2016,-18462.16,27513.73342
3/13/2016,-15277.45,7305.07802
3/14/2016,15295.61,45623.16036
3/15/2016,-12213.95,3772.836995
3/16/2016,-4216.94,30790.61383
3/17/2016,11232.17,38940.19068
3/18/2016,-1599.43,15750.5032
3/19/2016,-13199.32,21612.2245
3/20/2016,26707.61,53368.55941
3/21/2016,9445.31,97128.40886
3/22/2016,16992.04,116011.7892
3/23/2016,-7659.09,72692.38803
3/24/2016,34157.5,55213.34131
3/25/2016,21104.82,35833.21554
3/26/2016,-1208.99,50638.16021
3/27/2016,-25995.39,18986.58565
3/28/2016,6550.31,14999.49845
3/29/2016,2412.13,8994.783459
3/30/2016,7922.8,67254.83899
3/31/2016,2983.21,23161.91707
4/1/2016,7671.81,31410.5265
4/2/2016,-12839.46,33167.42986
4/3/2016,-4442.29,22313.78092
4/4/2016,-421.5,7173.933721
4/5/2016,6809.59,32192.42392
4/6/2016,2254.52,13406.66612
4/7/2016,-27328.19,12608.94968
4/8/2016,-16910.3,25464.33986
4/9/2016,24639.94,83955.79497
4/10/2016,27677.21,30300.5774
4/11/2016,6409.84,14451.82108
4/12/2016,16146.44,38789.73621
4/13/2016,8802.16,20862.79266
4/14/2016,-3277.51,18100.03683
4/15/2016,1035.83,148694.7546
4/16/2016,13579.53,51846.80481
4/17/2016,7970.58,41675.35665
4/18/2016,-11312.51,12807.62235
4/19/2016,-15805.59,72959.3918
4/20/2016,17089.2,59089.12289
4/21/2016,9905.36,129558.5305
4/22/2016,-7852.98,6897.987518
4/23/2016,43034.3,94616.44349
4/24/2016,7157.99,90832.97003
4/25/2016,-6492.97,8557.217588
4/26/2016,-6783.55,18877.44653
4/27/2016,-17282.89,34892.21542
4/28/2016,3638.65,30897.79457
4/29/2016,-981.77,59139.42745
4/30/2016,16.08,9044.612023
5/1/2016,-18319.14,16434.39
5/2/2016,-10949.38,7401.389996
5/3/2016,-4208.07,13571.18045
5/4/2016,587.43,1021.997159
5/5/2016,-22003.65,31772.40555
5/6/2016,-9207.57,83330.42367
5/7/2016,-10722.66,112735.6398
5/8/2016,-9911.21,90188.4787
5/9/2016,5936.88,65957.15425
5/10/2016,-734.92,152.2899369
5/11/2016,-9432.83,40559.25349
5/12/2016,-8261,68788.66569
5/13/2016,41422.89,123684.395
5/14/2016,20624.64,23895.03126
5/15/2016,42216.41,188497.9272
5/16/2016,-17770.11,50251.56205
5/17/2016,21721.88,41244.03291
5/18/2016,21712.41,64434.6149
5/19/2016,-12716.06,143920.101
5/20/2016,6141.73,82430.41358
5/21/2016,-21711.02,101971.6988
5/22/2016,-60730.66,115290.4886
5/23/2016,-694.83,99126.13798
5/24/2016,3671.34,56942.02569
5/25/2016,-3569.93,75393.19921
5/26/2016,-1954.88,1985.398387
5/27/2016,1929.4,16739.47064
5/28/2016,-14106.52,8631.779563
5/29/2016,-8488.26,23833.01752
5/30/2016,-730.25,16612.08741
5/31/2016,4809.21,14775.64152
6/1/2016,-323.54,36687.35817
6/2/2016,-5047.11,37999.67696
6/3/2016,16667.94,30228.12715
6/4/2016,-20350.28,27125.72605
6/5/2016,-6600.72,118853.8201
6/6/2016,-6324.18,11409.36677
6/7/2016,-14017.79,30313.72887
6/8/2016,12035.34,13767.81582
6/9/2016,11.12,4931.502505
6/10/2016,-14564.62,39047.23783
6/11/2016,2010.83,45995.66246
6/12/2016,378.7,31149.47325
6/13/2016,2377.09,19297.37927
6/14/2016,41247.38,126898.5684
6/15/2016,3313.18,23625.79244
6/16/2016,-5706.52,23342.61428
6/17/2016,-8138.54,50756.77629
6/18/2016,-10164.54,16214.30436
6/19/2016,7134.13,10811.34887
6/20/2016,20009.27,61705.25862
6/21/2016,4080.43,84431.73547
6/22/2016,-6341.79,49322.17727
6/23/2016,-5144.04,4815.20051
6/24/2016,-47961.07,66636.43965
6/25/2016,-9470.56,66528.96831
6/26/2016,2403.46,25171.30023
6/27/2016,-17930.16,83868.30087
6/28/2016,-6739.13,20296.08325
6/29/2016,3767.68,12482.24362
6/30/2016,-22506.81,84854.36299
7/1/2016,15484.35,115849.9975
7/2/2016,21610.48,77253.06717
7/3/2016,7264.81,60646.97443
7/4/2016,13736.98,79372.95549
7/5/2016,-1005.29,71372.04462
7/6/2016,-21109.99,8933.033098
7/7/2016,22996.52,188534.5579
7/8/2016,45700.88,205253.0301
7/9/2016,8462.71,97962.68431
7/10/2016,-36826.89,55446.29292
7/11/2016,192.3,79754.85786
7/12/2016,329,1733.920882
7/13/2016,1125.58,54877.0714
7/14/2016,21918.67,132569.2579
7/15/2016,33174.69,96965.95621
7/16/2016,6487.51,72793.13172
7/17/2016,13348.62,104701.9983
7/18/2016,4396.33,14089.65962
